Roll 1: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 16302: 2 × T3 | R%: 1.029% (1 in 97.187) | 83.26 ★
Roll 16303: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16304: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 16305: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 16306: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16307: (+1/2) 1 × T2 | R%: 18.521% (1 in 5.399) | 13.65 ★ [+3.9]
Roll 16308: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16309: (+1/3) 2 × T1 | R%: 9.26% (1 in 10.799) | 6.3 ★ [+1.8]
Roll 16310: 2 × T2 | R%: 3.087% (1 in 32.396) | 22.0 ★
Roll 16311: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16312: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 16313: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 16314: (+3/5) 2 × T1 | R%: 9.26% (1 in 10.799) | 9.9 ★ [+5.4]
Roll 16315: (+5/7) 2 × T1 | R%: 9.26% (1 in 10.799) | 13.5 ★ [+9.0]
Roll 16316: (+7/9) 2 × T1 | R%: 9.26% (1 in 10.799) | 17.1 ★ [+12.6]
Roll 16317: (+9/10) 1 × T1 | R%: 55.563% (1 in 1.8) | 4.6 ★ [+3.6]
Roll 16318: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16319: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16320: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 16321: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 16322: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 16323: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 16324: (+5/6) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.0 ★ [+2.0]
Roll 16325: (+6/7) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.4 ★ [+2.4]
Roll 16326: (+7/8) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.8 ★ [+2.8]
Roll 16327: (+8/9) 1 × T1 | R%: 55.563% (1 in 1.8) | 4.2 ★ [+3.2]
Roll 16328: 2 × T2 | R%: 3.087% (1 in 32.396) | 22.0 ★
Roll 16329: 2 × T5 | R%: 0.114% (1 in 874.687) | 1047.94 ★
Roll 16330: 3 × T3 | R%: 0.171% (1 in 583.125) | 126.14 ★
Roll 16331: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16332: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16333: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 16334: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 16335: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16336: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 16337: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 16338: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16339: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16340: 1 × T4 | R%: 2.058% (1 in 48.594) | 147.56 ★
Roll 16341: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16342: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 16343: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 16344: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 16345: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 16346: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16347: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16348: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16349: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16350: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16351: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16352: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 16353: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16354: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16355: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 16356: 1 × T5 | R%: 0.686% (1 in 145.781) | 522.72 ★
Roll 16357: 2 × T1 | R%: 9.26% (1 in 10.799) | 4.5 ★
Roll 16358: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16359: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16360: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16361: (+1/2) 1 × T2 | R%: 18.521% (1 in 5.399) | 13.65 ★ [+3.9]
Roll 16362: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16363: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 16364: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16365: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16366: (+1/3) 2 × T1 | R%: 9.26% (1 in 10.799) | 6.3 ★ [+1.8]
Roll 16367: 2 × T2 | R%: 3.087% (1 in 32.396) | 22.0 ★
Roll 16368: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16369: 3 × T4 | R%: 0.057% (1 in 1.75×10^3) | 447.68 ★
Roll 16370: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16371: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 16372: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16373: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16374: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 16375: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 16376: (+3/5) 2 × T1 | R%: 9.26% (1 in 10.799) | 9.9 ★ [+5.4]
Roll 16377: (+5/6) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.0 ★ [+2.0]
Roll 16378: (+6/7) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.4 ★ [+2.4]
Roll 16379: 2 × T2 | R%: 3.087% (1 in 32.396) | 22.0 ★
Roll 16380: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 16381: 3 × T2 | R%: 0.514% (1 in 194.375) | 34.25 ★
Roll 16382: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16383: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 16384: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 16385: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 16386: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 16387: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16388: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 16389: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 16390: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16391: 1 × T5 | R%: 0.686% (1 in 145.781) | 522.72 ★
Roll 16392: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16393: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 16394: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 16395: (+3/5) 2 × T1 | R%: 9.26% (1 in 10.799) | 9.9 ★ [+5.4]
Roll 16396: (+5/6) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.0 ★ [+2.0]
Roll 16397: (+6/7) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.4 ★ [+2.4]
Roll 16398: (+7/8) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.8 ★ [+2.8]
Roll 16399: (+8/9) 1 × T1 | R%: 55.563% (1 in 1.8) | 4.2 ★ [+3.2]
Roll 16400: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16401: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16402: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 16403: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 16404: (+3/5) 2 × T1 | R%: 9.26% (1 in 10.799) | 9.9 ★ [+5.4]
Roll 16405: (+5/6) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.0 ★ [+2.0]
Roll 16406: (+6/7) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.4 ★ [+2.4]
Roll 16407: (+7/8) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.8 ★ [+2.8]
Roll 16408: (+8/9) 1 × T1 | R%: 55.563% (1 in 1.8) | 4.2 ★ [+3.2]
Roll 16409: (+9/10) 1 × T1 | R%: 55.563% (1 in 1.8) | 4.6 ★ [+3.6]
Roll 16410: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 16411: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16412: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 16413: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16414: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16415: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 16416: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16417: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16418: (+1/4) 3 × T1 | R%: 1.543% (1 in 64.792) | 11.2 ★ [+3.2]
Roll 16419: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16420: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16421: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 16422: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16423: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 16424: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 16425: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 16426: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 16427: 2 × T2 | R%: 3.087% (1 in 32.396) | 22.0 ★
Roll 16428: 3 × T1 | R%: 1.543% (1 in 64.792) | 8.0 ★
Roll 16429: (+3/5) 2 × T1 | R%: 9.26% (1 in 10.799) | 9.9 ★ [+5.4]
Roll 16430: (+5/7) 2 × T1 | R%: 9.26% (1 in 10.799) | 13.5 ★ [+9.0]
Roll 16431: (+7/9) 2 × T1 | R%: 9.26% (1 in 10.799) | 17.1 ★ [+12.6]
Roll 16432: (+9/10) 1 × T1 | R%: 55.563% (1 in 1.8) | 4.6 ★ [+3.6]
Roll 16433: (+10/11) 1 × T1 | R%: 55.563% (1 in 1.8) | 5.0 ★ [+4.0]
Roll 16434: (+11/12) 1 × T1 | R%: 55.563% (1 in 1.8) | 5.4 ★ [+4.4]
Roll 16435: 4 × T3 | R%: 0.029% (1 in 3.50×10^3) | 169.02 ★
Roll 16436: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16437: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 16438: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 16439: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 16440: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 16441: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16442: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 16443: 2 × T1 | R%: 9.26% (1 in 10.799) | 4.5 ★
Roll 16444: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 16445: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 16446: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 16447: (+5/6) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.0 ★ [+2.0]
Roll 16448: (+6/7) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.4 ★ [+2.4]
Roll 16449: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 16450: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16451: (+1/3) 2 × T1 | R%: 9.26% (1 in 10.799) | 6.3 ★ [+1.8]
Roll 16452: (+3/5) 2 × T1 | R%: 9.26% (1 in 10.799) | 9.9 ★ [+5.4]
Roll 16453: (+5/6) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.0 ★ [+2.0]
Roll 16454: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 16455: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16456: (+1/2) 1 × T2 | R%: 18.521% (1 in 5.399) | 13.65 ★ [+3.9]
Roll 16457: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 16458: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16459: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 16460: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16461: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16462: 1 × T4 | R%: 2.058% (1 in 48.594) | 147.56 ★
Roll 16463: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16464: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16465: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 16466: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16467: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16468: (+1/2) 1 × T2 | R%: 18.521% (1 in 5.399) | 13.65 ★ [+3.9]
Roll 16469: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16470: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 16471: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 16472: 1 × T4 | R%: 2.058% (1 in 48.594) | 147.56 ★
Roll 16473: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16474: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 16475: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16476: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 16477: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 16478: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 16479: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 16480: (+5/6) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.0 ★ [+2.0]
Roll 16481: 2 × T2 | R%: 3.087% (1 in 32.396) | 22.0 ★
Roll 16482: (+2/3) 1 × T2 | R%: 18.521% (1 in 5.399) | 17.55 ★ [+7.8]
Roll 16483: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16484: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 16485: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16486: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 16487: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 16488: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 16489: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 16490: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16491: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 16492: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 16493: (+3/5) 2 × T1 | R%: 9.26% (1 in 10.799) | 9.9 ★ [+5.4]
Roll 16494: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 16495: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16496: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16497: (+1/3) 2 × T2 | R%: 3.087% (1 in 32.396) | 30.8 ★ [+8.8]
Roll 16498: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16499: 1 × T4 | R%: 2.058% (1 in 48.594) | 147.56 ★
Roll 16500: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16501: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 16502: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 16503: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16504: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16505: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 16506: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 16507: 2 × T2 | R%: 3.087% (1 in 32.396) | 22.0 ★
Roll 16508: (+2/3) 1 × T2 | R%: 18.521% (1 in 5.399) | 17.55 ★ [+7.8]
Roll 16509: (+3/4) 1 × T2 | R%: 18.521% (1 in 5.399) | 21.45 ★ [+11.7]
Roll 16510: (+4/5) 1 × T2 | R%: 18.521% (1 in 5.399) | 25.35 ★ [+15.6]
Roll 16511: 2 × T1 | R%: 9.26% (1 in 10.799) | 4.5 ★
Roll 16512: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 16513: (+3/5) 2 × T1 | R%: 9.26% (1 in 10.799) | 9.9 ★ [+5.4]
Roll 16514: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16515: 1 × T5 | R%: 0.686% (1 in 145.781) | 522.72 ★
Roll 16516: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16517: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 16518: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 16519: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 16520: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 16521: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 16522: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16523: 2 × T3 | R%: 1.029% (1 in 97.187) | 83.26 ★
Roll 16524: 3 × T1 | R%: 1.543% (1 in 64.792) | 8.0 ★
Roll 16525: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 16526: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 16527: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 16528: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16529: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16530: 3 × T1 | R%: 1.543% (1 in 64.792) | 8.0 ★
Roll 16531: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 16532: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16533: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 16534: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 16535: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16536: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 16537: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16538: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 16539: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 16540: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 16541: (+4/6) 2 × T1 | R%: 9.26% (1 in 10.799) | 11.7 ★ [+7.2]
Roll 16542: (+6/7) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.4 ★ [+2.4]
Roll 16543: (+7/8) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.8 ★ [+2.8]
Roll 16544: (+8/9) 1 × T1 | R%: 55.563% (1 in 1.8) | 4.2 ★ [+3.2]
Roll 16545: (+9/10) 1 × T1 | R%: 55.563% (1 in 1.8) | 4.6 ★ [+3.6]
Roll 16546: (+10/11) 1 × T1 | R%: 55.563% (1 in 1.8) | 5.0 ★ [+4.0]
Roll 16547: (+11/12) 1 × T1 | R%: 55.563% (1 in 1.8) | 5.4 ★ [+4.4]
Roll 16548: (+12/13) 1 × T1 | R%: 55.563% (1 in 1.8) | 5.8 ★ [+4.8]
Roll 16549: (+13/14) 1 × T1 | R%: 55.563% (1 in 1.8) | 6.2 ★ [+5.2]
Roll 16550: (+14/15) 1 × T1 | R%: 55.563% (1 in 1.8) | 6.6 ★ [+5.6]
Roll 16551: (+15/16) 1 × T1 | R%: 55.563% (1 in 1.8) | 7.0 ★ [+6.0]
Roll 16552: (+16/18) 2 × T1 | R%: 9.26% (1 in 10.799) | 33.3 ★ [+28.8]
Roll 16553: (+18/19) 1 × T1 | R%: 55.563% (1 in 1.8) | 8.2 ★ [+7.2]
Roll 16554: (+19/20) 1 × T1 | R%: 55.563% (1 in 1.8) | 8.6 ★ [+7.6]
Roll 16555: (+20/21) 1 × T1 | R%: 55.563% (1 in 1.8) | 9.0 ★ [+8.0]
Roll 16556: 1 × T4 | R%: 2.058% (1 in 48.594) | 147.56 ★
Roll 16557: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16558: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16559: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 16560: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16561: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 16562: 1 × T4 | R%: 2.058% (1 in 48.594) | 147.56 ★
Roll 16563: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16564: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 16565: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 16566: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 16567: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16568: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16569: (+1/3) 2 × T1 | R%: 9.26% (1 in 10.799) | 6.3 ★ [+1.8]
Roll 16570: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 16571: 2 × T1 | R%: 9.26% (1 in 10.799) | 4.5 ★
Roll 16572: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 16573: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 16574: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 16575: (+5/6) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.0 ★ [+2.0]
Roll 16576: (+6/7) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.4 ★ [+2.4]
Roll 16577: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16578: (+1/2) 1 × T2 | R%: 18.521% (1 in 5.399) | 13.65 ★ [+3.9]
Roll 16579: (+2/3) 1 × T2 | R%: 18.521% (1 in 5.399) | 17.55 ★ [+7.8]
Roll 16580: (+3/4) 1 × T2 | R%: 18.521% (1 in 5.399) | 21.45 ★ [+11.7]
Roll 16581: (+4/5) 1 × T2 | R%: 18.521% (1 in 5.399) | 25.35 ★ [+15.6]
Roll 16582: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16583: (+1/3) 2 × T1 | R%: 9.26% (1 in 10.799) | 6.3 ★ [+1.8]
Roll 16584: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 16585: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 16586: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16587: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 16588: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16589: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 16590: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 16591: (+3/5) 2 × T1 | R%: 9.26% (1 in 10.799) | 9.9 ★ [+5.4]
Roll 16592: (+5/6) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.0 ★ [+2.0]
